model,joint,metric,value
Dist. V2-100,Ring_Tip,PCK@0.2,0.8834
Dist. V2-100,Ring_Tip,MPJPE,24.1204
Dist. V2-100,Pinky_MCP,PCK@0.2,0.6813
Dist. V2-100,Pinky_MCP,MPJPE,44.1275
Dist. V2-100,Pinky_PIP,PCK@0.2,0.7679
Dist. V2-100,Pinky_PIP,MPJPE,35.6151
Dist. V2-100,Pinky_DIP,PCK@0.2,0.7624
Dist. V2-100,Pinky_DIP,MPJPE,35.7462
Dist. V2-100,Pinky_Tip,PCK@0.2,0.7899
Dist. V2-100,Pinky_Tip,MPJPE,32.0824
FT V2-150,ALL,PCK@0.2,0.8188
FT V2-150,ALL,MPJPE,30.1391
FT V2-150,ALL,AUC,0.7686
FT V2-150,Wrist,PCK@0.2,0.8497
FT V2-150,Wrist,MPJPE,29.9532
FT V2-150,Thumb_MCP,PCK@0.2,0.7657
FT V2-150,Thumb_MCP,MPJPE,35.4790
FT V2-150,Thumb_PIP,PCK@0.2,0.8210
FT V2-150,Thumb_PIP,MPJPE,28.6039
FT V2-150,Thumb_DIP,PCK@0.2,0.8346
FT V2-150,Thumb_DIP,MPJPE,27.9771
FT V2-150,Thumb_Tip,PCK@0.2,0.8966
FT V2-150,Thumb_Tip,MPJPE,23.6692
FT V2-150,Index_MCP,PCK@0.2,0.7466
FT V2-150,Index_MCP,MPJPE,37.2195
FT V2-150,Index_PIP,PCK@0.2,0.8064
FT V2-150,Index_PIP,MPJPE,30.2052
FT V2-150,Index_DIP,PCK@0.2,0.8475
FT V2-150,Index_DIP,MPJPE,26.0552
FT V2-150,Index_Tip,PCK@0.2,0.8973
FT V2-150,Index_Tip,MPJPE,22.3193
FT V2-150,Middle_MCP,PCK@0.2,0.7811
FT V2-150,Middle_MCP,MPJPE,33.9765
FT V2-150,Middle_PIP,PCK@0.2,0.8401
FT V2-150,Middle_PIP,MPJPE,28.2815
FT V2-150,Middle_DIP,PCK@0.2,0.8786
FT V2-150,Middle_DIP,MPJPE,24.9357
FT V2-150,Middle_Tip,PCK@0.2,0.9061
FT V2-150,Middle_Tip,MPJPE,21.1108
FT V2-150,Ring_MCP,PCK@0.2,0.7297
FT V2-150,Ring_MCP,MPJPE,39.0199
FT V2-150,Ring_PIP,PCK@0.2,0.8453
FT V2-150,Ring_PIP,MPJPE,27.6341
FT V2-150,Ring_DIP,PCK@0.2,0.8585
FT V2-150,Ring_DIP,MPJPE,25.5769
FT V2-150,Ring_Tip,PCK@0.2,0.8838
FT V2-150,Ring_Tip,MPJPE,23.9084
FT V2-150,Pinky_MCP,PCK@0.2,0.6854
FT V2-150,Pinky_MCP,MPJPE,44.0387
FT V2-150,Pinky_PIP,PCK@0.2,0.7682
FT V2-150,Pinky_PIP,MPJPE,35.2718
FT V2-150,Pinky_DIP,PCK@0.2,0.7631
FT V2-150,Pinky_DIP,MPJPE,35.8115
FT V2-150,Pinky_Tip,PCK@0.2,0.7895
FT V2-150,Pinky_Tip,MPJPE,31.8742
