C:\Users\Bea Juliana Poquiz\Desktop\mmpose_thesis\.venv\lib\site-packages\mmpose\datasets\datasets\utils.py:102: UserWarning: The metainfo config file "configs/_base_/datasets/rhd2d.py" does not exist. A matched config file "C:\Users\Bea Juliana Poquiz\Desktop\mmpose_thesis\.venv\lib\site-packages\mmpose\.mim\configs\_base_\datasets\rhd2d.py" will be used instead.
  warnings.warn(
Device: cuda
Loaded MediaPipe pretrained weights as starting point (matches distillation_v2.py)
loading annotations into memory...
Done (t=5.65s)
creating index...
index created!
[v2match] train set: rhd_train.json, 41255 images (full, matches distillation_v2.py:104-108, no subsetting)
loading annotations into memory...
Done (t=0.30s)
creating index...
index created!
[v2match] monitoring set: first 200 of rhd_test.json (2727 total), matching distillation_v2.py's VAL_SAMPLES=200 default and its batch_size=1/shuffle=False iteration order. NOTE: this is V2's own monitoring instrument, reused for parity -- it is not a held-out set (it is part of the file everything is finally scored on), so it does not license early stopping. See heldout protocol for that.
  sanity[0] transformed_keypoints mean=[133.7 132.2] in-range=True
  sanity[1] transformed_keypoints mean=[129.5 139.3] in-range=True
  sanity[2] transformed_keypoints mean=[132.7 140.5] in-range=True

=======================================================
R2-05 PARITY-CONTROLLED DIRECT SUPERVISION RETRAIN
run_name=parity_baseline  weight_decay=0.0  early_stop=False  strong_aug=False
Target: hard GT keypoints (gt_instances.transformed_keypoints, crop-space, bug-fixed)
Loss: Wing(w=10) + 0.002*Bone  |  Aug: matches distillation_v2.py
LR: Cosine 1e-4 -> 1e-6 over 100 epochs  |  Adam wd=0.0
=======================================================

Epoch [2/100] Step [980/1290] Loss:21.3982 Wing:20.8394 Bone:279.4220
Epoch [2/100] Step [1000/1290] Loss:19.6040 Wing:18.8674 Bone:368.3019
Epoch [2/100] Step [1020/1290] Loss:21.1968 Wing:20.6659 Bone:265.4646
Epoch [2/100] Step [1040/1290] Loss:20.8217 Wing:20.1238 Bone:348.9526
Epoch [2/100] Step [1060/1290] Loss:18.5751 Wing:18.2338 Bone:170.6558
Epoch [2/100] Step [1080/1290] Loss:21.5390 Wing:20.8357 Bone:351.6517
Epoch [2/100] Step [1100/1290] Loss:18.3204 Wing:17.8198 Bone:250.2949
Epoch [2/100] Step [1120/1290] Loss:20.6993 Wing:20.0477 Bone:325.7849
Epoch [2/100] Step [1140/1290] Loss:18.9573 Wing:18.2804 Bone:338.4573
Epoch [2/100] Step [1160/1290] Loss:24.3577 Wing:23.1539 Bone:601.9082
Epoch [2/100] Step [1180/1290] Loss:17.6416 Wing:17.0993 Bone:271.1479
Epoch [2/100] Step [1200/1290] Loss:20.9789 Wing:20.2135 Bone:382.7068
Epoch [2/100] Step [1220/1290] Loss:20.5969 Wing:19.8736 Bone:361.6572
Epoch [2/100] Step [1240/1290] Loss:19.9833 Wing:19.3986 Bone:292.3344
Epoch [2/100] Step [1260/1290] Loss:23.5827 Wing:22.5958 Bone:493.4879
Epoch [2/100] Step [1280/1290] Loss:20.3212 Wing:19.7278 Bone:296.6805
===> Epoch 2 | Loss:21.6336 | Wing:20.8630 | Bone:385.3251 | LR:9.99e-05 | 509.4s/epoch (1290 steps)
    Peak CUDA memory allocated so far: 1372.4 MB
Epoch [3/100] Step [0/1290] Loss:19.6923 Wing:19.0932 Bone:299.5627
Epoch [3/100] Step [20/1290] Loss:20.4711 Wing:20.0080 Bone:231.5900
Epoch [3/100] Step [40/1290] Loss:17.8997 Wing:17.3876 Bone:256.0325
Epoch [3/100] Step [60/1290] Loss:17.5724 Wing:17.0678 Bone:252.2788
Epoch [3/100] Step [80/1290] Loss:20.0750 Wing:19.3490 Bone:362.9850
Epoch [3/100] Step [100/1290] Loss:19.8215 Wing:19.0945 Bone:363.5011
Epoch [3/100] Step [120/1290] Loss:21.4982 Wing:20.7341 Bone:382.0751
Epoch [3/100] Step [140/1290] Loss:17.2516 Wing:16.9556 Bone:148.0270
Epoch [3/100] Step [160/1290] Loss:22.9067 Wing:22.1932 Bone:356.7569
Epoch [3/100] Step [180/1290] Loss:18.7435 Wing:18.1829 Bone:280.3140
Epoch [3/100] Step [200/1290] Loss:17.8749 Wing:17.2809 Bone:297.0004
Epoch [3/100] Step [220/1290] Loss:20.6177 Wing:19.8402 Bone:388.7321
Epoch [3/100] Step [240/1290] Loss:20.2520 Wing:19.6973 Bone:277.3693
Epoch [3/100] Step [260/1290] Loss:21.0335 Wing:20.3749 Bone:329.3047
Epoch [3/100] Step [280/1290] Loss:21.9010 Wing:21.1545 Bone:373.2616
Epoch [3/100] Step [300/1290] Loss:20.5717 Wing:19.8837 Bone:343.9941
Epoch [3/100] Step [320/1290] Loss:18.7432 Wing:18.1798 Bone:281.6837
Epoch [3/100] Step [340/1290] Loss:20.9360 Wing:20.3324 Bone:301.7950
Epoch [3/100] Step [360/1290] Loss:20.4361 Wing:19.7539 Bone:341.1237
Epoch [3/100] Step [380/1290] Loss:18.8482 Wing:18.3463 Bone:250.9036
Epoch [3/100] Step [400/1290] Loss:20.6153 Wing:20.0650 Bone:275.1560
Epoch [3/100] Step [420/1290] Loss:20.2412 Wing:19.5687 Bone:336.2505
Epoch [3/100] Step [440/1290] Loss:20.1912 Wing:19.5011 Bone:345.0352
Epoch [3/100] Step [460/1290] Loss:23.1805 Wing:22.0885 Bone:545.9970
Epoch [3/100] Step [480/1290] Loss:20.2082 Wing:19.5516 Bone:328.2740
Epoch [3/100] Step [500/1290] Loss:18.4803 Wing:17.8959 Bone:292.2009
Epoch [3/100] Step [520/1290] Loss:18.4068 Wing:17.9141 Bone:246.3976
Epoch [3/100] Step [540/1290] Loss:19.9713 Wing:19.0470 Bone:462.1667
Epoch [3/100] Step [560/1290] Loss:18.7466 Wing:18.1573 Bone:294.6519
Epoch [3/100] Step [580/1290] Loss:19.0604 Wing:18.5613 Bone:249.5409
Epoch [3/100] Step [600/1290] Loss:21.7046 Wing:21.2439 Bone:230.3505
Epoch [3/100] Step [620/1290] Loss:20.7468 Wing:19.9048 Bone:420.9780
Epoch [3/100] Step [640/1290] Loss:21.4748 Wing:20.6941 Bone:390.3484
Epoch [3/100] Step [660/1290] Loss:24.7755 Wing:23.4362 Bone:669.6157
Epoch [3/100] Step [680/1290] Loss:21.7005 Wing:20.8212 Bone:439.6581
Epoch [3/100] Step [700/1290] Loss:20.2515 Wing:19.4501 Bone:400.7002
Epoch [3/100] Step [720/1290] Loss:19.9371 Wing:19.3279 Bone:304.5957
Epoch [3/100] Step [740/1290] Loss:18.0311 Wing:17.5559 Bone:237.6154
Epoch [3/100] Step [760/1290] Loss:19.4488 Wing:18.6535 Bone:397.6417
Epoch [3/100] Step [780/1290] Loss:20.6928 Wing:19.9749 Bone:358.9787
Epoch [3/100] Step [800/1290] Loss:19.6094 Wing:18.9856 Bone:311.8882
Epoch [3/100] Step [820/1290] Loss:17.9290 Wing:17.3415 Bone:293.7580
Epoch [3/100] Step [840/1290] Loss:18.4619 Wing:18.0000 Bone:230.9638
Epoch [3/100] Step [860/1290] Loss:18.3042 Wing:17.8320 Bone:236.0760
Epoch [3/100] Step [880/1290] Loss:20.1026 Wing:19.5902 Bone:256.2379
Epoch [3/100] Step [900/1290] Loss:17.9079 Wing:17.3176 Bone:295.1251
Epoch [3/100] Step [920/1290] Loss:21.9921 Wing:21.3511 Bone:320.4832
Epoch [3/100] Step [940/1290] Loss:18.5283 Wing:18.0255 Bone:251.4177
Epoch [3/100] Step [960/1290] Loss:21.2405 Wing:20.6269 Bone:306.7683
Epoch [3/100] Step [980/1290] Loss:19.8589 Wing:19.1571 Bone:350.8805
Epoch [3/100] Step [1000/1290] Loss:19.4145 Wing:18.9725 Bone:220.9957
Epoch [3/100] Step [1020/1290] Loss:22.9364 Wing:22.0919 Bone:422.2569
Epoch [3/100] Step [1040/1290] Loss:20.8806 Wing:19.9864 Bone:447.1229
Epoch [3/100] Step [1060/1290] Loss:19.2524 Wing:18.6467 Bone:302.8734
Epoch [3/100] Step [1080/1290] Loss:18.7575 Wing:18.3097 Bone:223.8671
Epoch [3/100] Step [1100/1290] Loss:21.1904 Wing:20.3668 Bone:411.8144
Epoch [3/100] Step [1120/1290] Loss:19.7763 Wing:19.1310 Bone:322.6655
Epoch [3/100] Step [1140/1290] Loss:17.8670 Wing:17.3503 Bone:258.3232
Epoch [3/100] Step [1160/1290] Loss:17.5298 Wing:16.9723 Bone:278.7309
Epoch [3/100] Step [1180/1290] Loss:20.5181 Wing:19.9325 Bone:292.8244
Epoch [3/100] Step [1200/1290] Loss:19.9471 Wing:19.2952 Bone:325.9471
Epoch [3/100] Step [1220/1290] Loss:20.9128 Wing:19.9793 Bone:466.7532
Epoch [3/100] Step [1240/1290] Loss:20.6360 Wing:19.8804 Bone:377.8217
Epoch [3/100] Step [1260/1290] Loss:18.0785 Wing:17.6144 Bone:232.0477
Epoch [3/100] Step [1280/1290] Loss:22.1316 Wing:21.3459 Bone:392.8613
===> Epoch 3 | Loss:19.9156 | Wing:19.2720 | Bone:321.7929 | LR:9.98e-05 | 731.3s/epoch (1290 steps)
    Peak CUDA memory allocated so far: 1372.4 MB
Epoch [4/100] Step [0/1290] Loss:17.9337 Wing:17.3150 Bone:309.3570
Epoch [4/100] Step [20/1290] Loss:17.2953 Wing:16.7802 Bone:257.5235
Epoch [4/100] Step [40/1290] Loss:19.1195 Wing:18.5522 Bone:283.6794
Epoch [4/100] Step [60/1290] Loss:19.6145 Wing:19.0643 Bone:275.0893
Epoch [4/100] Step [80/1290] Loss:20.3723 Wing:19.6906 Bone:340.8493
Epoch [4/100] Step [100/1290] Loss:17.3499 Wing:16.7534 Bone:298.2318
Epoch [4/100] Step [120/1290] Loss:17.8376 Wing:17.4253 Bone:206.1701
Epoch [4/100] Step [140/1290] Loss:22.2841 Wing:21.3578 Bone:463.1300
Epoch [4/100] Step [160/1290] Loss:18.7764 Wing:18.3717 Bone:202.3357
Epoch [4/100] Step [180/1290] Loss:19.8128 Wing:19.2492 Bone:281.8107
Epoch [4/100] Step [200/1290] Loss:18.1761 Wing:17.5637 Bone:306.1711
Epoch [4/100] Step [220/1290] Loss:19.2769 Wing:18.5357 Bone:370.6023
Epoch [4/100] Step [240/1290] Loss:20.9116 Wing:20.2652 Bone:323.2085
Epoch [4/100] Step [260/1290] Loss:19.8297 Wing:19.2153 Bone:307.1566
Epoch [4/100] Step [280/1290] Loss:18.4631 Wing:17.9963 Bone:233.3592
Epoch [4/100] Step [300/1290] Loss:17.1011 Wing:16.7787 Bone:161.1627
Epoch [4/100] Step [320/1290] Loss:18.2957 Wing:17.7293 Bone:283.2167
Epoch [4/100] Step [340/1290] Loss:23.3532 Wing:22.5631 Bone:395.0226
Epoch [4/100] Step [360/1290] Loss:19.7635 Wing:18.9147 Bone:424.4091
Epoch [4/100] Step [380/1290] Loss:19.8311 Wing:19.2339 Bone:298.5963
Epoch [4/100] Step [400/1290] Loss:18.6180 Wing:18.0092 Bone:304.4163
Epoch [4/100] Step [420/1290] Loss:23.6293 Wing:22.2097 Bone:709.8013
Epoch [4/100] Step [440/1290] Loss:19.1024 Wing:18.6470 Bone:227.7059
Epoch [4/100] Step [460/1290] Loss:15.8870 Wing:15.4954 Bone:195.7962
Epoch [4/100] Step [480/1290] Loss:20.1686 Wing:19.5237 Bone:322.4232
Epoch [4/100] Step [500/1290] Loss:19.2161 Wing:18.4796 Bone:368.2224
Epoch [4/100] Step [520/1290] Loss:17.3055 Wing:16.8561 Bone:224.6809
Epoch [4/100] Step [540/1290] Loss:21.6784 Wing:21.0026 Bone:337.8806
Epoch [4/100] Step [560/1290] Loss:23.8133 Wing:23.0704 Bone:371.4662
Epoch [4/100] Step [580/1290] Loss:21.2489 Wing:20.5679 Bone:340.4919
Epoch [4/100] Step [600/1290] Loss:22.1200 Wing:21.4005 Bone:359.7496
Epoch [4/100] Step [620/1290] Loss:20.0926 Wing:19.5379 Bone:277.3541
Epoch [4/100] Step [640/1290] Loss:17.8489 Wing:17.4090 Bone:219.9280
Epoch [4/100] Step [660/1290] Loss:18.4855 Wing:17.9171 Bone:284.1964
Epoch [4/100] Step [680/1290] Loss:20.7927 Wing:20.1054 Bone:343.6629
Epoch [4/100] Step [700/1290] Loss:16.8841 Wing:16.4777 Bone:203.1936
Epoch [4/100] Step [720/1290] Loss:20.1959 Wing:19.7035 Bone:246.1746
Epoch [4/100] Step [740/1290] Loss:18.1782 Wing:17.7249 Bone:226.6953
Epoch [4/100] Step [760/1290] Loss:18.0402 Wing:17.5221 Bone:259.0685
Epoch [4/100] Step [780/1290] Loss:21.3736 Wing:20.5499 Bone:411.8492
Epoch [4/100] Step [800/1290] Loss:19.0152 Wing:18.5109 Bone:252.1311
Epoch [4/100] Step [820/1290] Loss:18.9482 Wing:18.2022 Bone:372.9816
Epoch [4/100] Step [840/1290] Loss:17.9544 Wing:17.3856 Bone:284.4053
Epoch [4/100] Step [860/1290] Loss:16.5009 Wing:16.0935 Bone:203.7094
Epoch [4/100] Step [880/1290] Loss:16.4097 Wing:15.9741 Bone:217.7864
Epoch [4/100] Step [900/1290] Loss:17.2047 Wing:16.7264 Bone:239.1650
Epoch [4/100] Step [920/1290] Loss:18.5099 Wing:18.0462 Bone:231.8673
Epoch [4/100] Step [940/1290] Loss:18.8085 Wing:18.2830 Bone:262.7451
Epoch [4/100] Step [960/1290] Loss:20.9125 Wing:20.0340 Bone:439.2341
Epoch [4/100] Step [980/1290] Loss:16.8424 Wing:16.4265 Bone:207.9416
Epoch [4/100] Step [1000/1290] Loss:18.3492 Wing:17.8401 Bone:254.5889
Epoch [4/100] Step [1020/1290] Loss:18.3695 Wing:17.8812 Bone:244.1332
Epoch [4/100] Step [1040/1290] Loss:19.1590 Wing:18.5509 Bone:304.0771
Epoch [4/100] Step [1060/1290] Loss:17.4420 Wing:16.8116 Bone:315.2213
Epoch [4/100] Step [1080/1290] Loss:19.3124 Wing:18.7522 Bone:280.1403
Epoch [4/100] Step [1100/1290] Loss:16.9780 Wing:16.5779 Bone:200.0179
Epoch [4/100] Step [1120/1290] Loss:18.9091 Wing:18.4285 Bone:240.3018
Epoch [4/100] Step [1140/1290] Loss:18.1832 Wing:17.6868 Bone:248.1706
Epoch [4/100] Step [1160/1290] Loss:20.1247 Wing:19.6368 Bone:243.9201
Epoch [4/100] Step [1180/1290] Loss:19.5933 Wing:18.8490 Bone:372.1497
Epoch [4/100] Step [1200/1290] Loss:20.2302 Wing:19.6346 Bone:297.7753
